source,target,weight
Raghu N. Kacker,Chang Rao,2
Raghu N. Kacker,Jin Guo,2
Raghu N. Kacker,Nan Li,2
Raghu N. Kacker,Michael Wagner,2
Raghu N. Kacker,Linghuan Hu,3
Raghu N. Kacker,W. Eric Wong,3
Raghu N. Kacker,Ludwig Kampel,3
Raghu N. Kacker,Tao Xie,3
Raghu N. Kacker,Kristoffer Kleine,2
Raghu N. Kacker,Darryl C. Jarman,2
Raghu N. Kacker,Riley Smith,2
Raghu N. Kacker,Feng Duan,6
Raghu N. Kacker,Linbin Yu,8
Raghu N. Kacker,James Lawrence,8
Raghu N. Kacker,Sreedevi Sampath,3
Raghu N. Kacker,Wenhua Wang,4
Raghu N. Kacker,Artemios G. Voyiatzis,2
Raghu N. Kacker,Laleh Sh. Ghandehari,8
Raghu N. Kacker,Jon Hagar,2
Raghu N. Kacker,Renée C. Bryce,2
Raghu N. Kacker,David Kung,3
Raghu N. Kacker,Itzel D. Mendoza,2
Raghu N. Kacker,Mehra N. Borazjany,4
Raghu N. Kacker,Michael Forbes,2
Raghu N. Kacker,Vadim Okun,2
Sunny Shree,Krishna Khadka,2
Ankita Ramjibhai Patel,Jaganmohan Chandrasekaran,2
Erin Lanus,Laura J. Freeman,4
Erin Lanus,Charles J. Colbourn,3
Jaganmohan Chandrasekaran,Laleh Sh. Ghandehari,2
Laura J. Freeman,Tyler Cody,3
Deborah Ann Furman,Eitan Farchi,2
Deborah Ann Furman,Michael Edward Gildein,2
Deborah Ann Furman,Ryan Thomas Rawlins,2
Eitan Farchi,Michael Edward Gildein,2
Eitan Farchi,Ryan Thomas Rawlins,2
Eitan Farchi,Anna Zamansky,3
Eitan Farchi,Itai Segall,4
Eitan Farchi,Rachel Tzoref-Brill,3
Michael Edward Gildein,Ryan Thomas Rawlins,2
Paolo Arcaini,Shaukat Ali,2
Paolo Arcaini,Tao Yue,2
Paolo Arcaini,Xinyi Wang,2
Malte Lochau,Sebastian Krieter,2
Malte Lochau,Gunter Saake,3
Malte Lochau,Jens Meinicke,2
Malte Lochau,Mustafa Al-Hajjaji,3
Malte Lochau,Thomas Thum,3
Malte Lochau,Sebastian Oster,4
Sebastian Krieter,Thomas Thüm,5
Sebastian Krieter,Tim Jannik Schmidt,2
Sebastian Krieter,Tobias Heß,2
Thomas Thüm,Tim Jannik Schmidt,2
Thomas Thüm,Tobias Heß,2
Binqi Sun,Jinkun Lin,2
Binqi Sun,Junjie Chen,2
Jianping Song,Qiyuan Zhao,2
Jinkun Lin,Junjie Chen,2
Jinkun Lin,Qiyuan Zhao,2
Jinkun Lin,Shaowei Cai,6
Jinkun Lin,Bing He,2
Jinkun Lin,Qingwei Lin,4
Jinkun Lin,Yingjie Fu,2
Jinkun Lin,Bo Qiao,2
Jinkun Lin,Dongmei Zhang,2
Qiyuan Zhao,Shaowei Cai,3
Franz Wotawa,Yavuz Köroglu,2
Franz Wotawa,Florian Klück,2
Franz Wotawa,Jianbo Tao,3
Franz Wotawa,Yihao Li,5
Franz Wotawa,Mihai Nica,4
Franz Wotawa,Bernhard Garn,5
Franz Wotawa,Feng Duan,3
Franz Wotawa,Josip Bozic,6
Franz Wotawa,Hermann Felbinger,3
Franz Wotawa,Kristoffer Kleine,2
Lin Chen,Baowen Xu,3
Lin Chen,Ziyuan Wang,3
Michael Wagner,Irene Hiess,4
Michael Wagner,Ludwig Kampel,9
Michael Wagner,Charles J. Colbourn,2
Michael Wagner,Kristoffer Kleine,2
Michael Wagner,Ilias S. Kotsireas,2
Ce Shi,Hao Jin,3
Ce Shi,Tatsuhiro Tsuchiya,3
Hao Jin,Tatsuhiro Tsuchiya,8
Hao Jin,Eun-Hye Choi,2
Hao Jin,Takashi Kitamura,2
Tatsuhiro Tsuchiya,Eun-Hye Choi,2
Tatsuhiro Tsuchiya,Takashi Kitamura,2
Tatsuhiro Tsuchiya,Hideharu Kojima,5
Tatsuhiro Tsuchiya,Hiroyuki Nakagawa,5
Tatsuhiro Tsuchiya,Tohru Kikuno,4
Tatsuhiro Tsuchiya,Toru Nanba,2
Tatsuhiro Tsuchiya,Satoshi Fujimoto,2
Florian Klück,Jianbo Tao,2
Florian Klück,Yihao Li,2
Jianbo Tao,Yihao Li,3
Bernhard Garn,Dominik-Philip Schreiber,3
Bernhard Garn,Ludwig Kampel,6
Bernhard Garn,Jeffrey M. Voas,2
Bernhard Garn,Rick Kuhn,3
Bernhard Garn,Feng Duan,3
Bernhard Garn,Josip Bozic,5
Bernhard Garn,Kristoffer Kleine,3
Bernhard Garn,Ioannis Kapsalis,2
Bernhard Garn,Severin Winkler,2
Matthew B. Dwyer,Brady J. Garvin,2
Matthew B. Dwyer,Myra B. Cohen,6
Matthew B. Dwyer,Jiangfan Shi,4
Kuldeep S. Meel,N. Variyam Vinodchandran,3
Kuldeep S. Meel,Sourav Chakraborty,3
N. Variyam Vinodchandran,Sourav Chakraborty,3
Irene Hiess,Ludwig Kampel,4
Ludwig Kampel,Paris Kitsos,2
Ludwig Kampel,Ilias S. Kotsireas,3
Ziyuan Wang,Shiyong Shuang,2
Ziyuan Wang,Yanliang Zhang,2
Ziyuan Wang,Feiyan She,2
Ziyuan Wang,Yanshan Chen,2
Ziyuan Wang,Yongming Yao,2
Ziyuan Wang,Zhenyu Chen,2
Ziyuan Wang,Yuanchao Qi,2
Ziyuan Wang,Weifeng Zhang,2
Ziyuan Wang,Baowen Xu,8
Ziyuan Wang,Liang Shi,2
AbdulRahman A. Al-Sewari,Abdullah B. Nasser,2
Abdullah B. Nasser,Nibras Abdullah,2
Abdullah B. Nasser,Kamal Z. Zamli,6
Abdullah B. Nasser,Fadhl Hujainah,2
Abdullah B. Nasser,AbdulRahman A. Alsewari,2
Abdullah B. Nasser,Bestoun S. Ahmed,2
Soumen Maity,Yasmeen Akhtar,5
Soumen Maity,Charles J. Colbourn,2
Soumen Maity,Reshma C. Chandrasekharan,2
Yasmeen Akhtar,Reshma C. Chandrasekharan,2
Tao Xie,Yves Le Traon,2
Tao Xie,Vincent C. Hu,2
Yves Le Traon,Christopher Henard,6
Yves Le Traon,Mike Papadakis,6
Yves Le Traon,Gilles Perrouin,5
Yves Le Traon,Jacques Klein,5
Yves Le Traon,Benoit Baudry,2
Yves Le Traon,Sagar Sen,2
Jian Zhang,Jun Yan,10
Jian Zhang,Xi Deng,3
Jian Zhang,Zhiqiang Zhang,7
Jian Zhang,Feifei Ma,4
Jian Zhang,Yong Zhao,2
Jian Zhang,Baiqiang Chen,2
Jiwei Yan,Jun Yan,2
Jiwei Yan,Shixin Zhang,2
Jiwei Yan,Xi Deng,2
Jun Yan,Shixin Zhang,2
Jun Yan,Xi Deng,4
Jun Yan,Zhiqiang Zhang,3
Jun Yan,Yong Zhao,2
Shixin Zhang,Xi Deng,2
Chi Zhang,Haibo Chen,2
Chi Zhang,Jinfu Chen,2
Chi Zhang,Jingyi Chen,2
Chi Zhang,Saihua Cai,2
Haibo Chen,Jinfu Chen,3
Haibo Chen,Jingyi Chen,2
Haibo Chen,Saihua Cai,2
Jinfu Chen,Jingyi Chen,2
Jinfu Chen,Saihua Cai,2
Jinfu Chen,Dave Towey,12
Jinfu Chen,Rubing Huang,14
Jinfu Chen,Tsong Yueh Chen,7
Jinfu Chen,Yunan Zhou,6
Jinfu Chen,Quanjun Zhang,2
Jinfu Chen,Weifeng Sun,3
Jinfu Chen,Weiwen Zong,4
Jinfu Chen,Deng Chen,2
Jinfu Chen,Yansheng Lu,5
Jinfu Chen,Rongcun Wang,3
Jingyi Chen,Saihua Cai,2
Charles J. Colbourn,Douglas C. Montgomery,2
Charles J. Colbourn,Annalisa De Bonis,2
Charles J. Colbourn,Kaushik Sarkar,4
Charles J. Colbourn,Ugo Vaccaro,2
Charles J. Colbourn,Violet R. Syrotiuk,2
Charles J. Colbourn,Guanqiu Qi,2
Charles J. Colbourn,Jie Luo,2
Charles J. Colbourn,Wei-Tek Tsai,4
Charles J. Colbourn,Fei-Ching Kuo,2
Charles J. Colbourn,Hareton Leung,3
Charles J. Colbourn,Jose Torres-Jimenez,2
Charles J. Colbourn,Qingyang Li,2
Charles J. Colbourn,Xiaoying Bai,2
Charles J. Colbourn,Goran Konjevod,2
Charles J. Colbourn,Peyman Nayeri,2
Charles J. Colbourn,Renée C. Bryce,9
Charles J. Colbourn,Gerzson Kéri,2
Charles J. Colbourn,Myra B. Cohen,6
Charles J. Colbourn,Yinong Chen,2
Charles J. Colbourn,Dean S. Hoskins,2
Charles J. Colbourn,Renée C. Turnban,2
Charles J. Colbourn,Peter B. Gibbons,2
Charles J. Colbourn,Warwick B. Mugridge,2
Kristoffer Kleine,Feng Duan,2
Kristoffer Kleine,Josip Bozic,2
Shaowei Cai,Bing He,2
Shaowei Cai,Qingwei Lin,3
Shaowei Cai,Yingjie Fu,2
Dominik-Philip Schreiber,Jeffrey M. Voas,2
Dominik-Philip Schreiber,Rick Kuhn,2
Jeffrey M. Voas,Rick Kuhn,2
Cemal Yilmaz,Hanefi Mercan,10
Cemal Yilmaz,Giray Coskun,2
Cemal Yilmaz,Arsalan Javeed,2
Cemal Yilmaz,Ugur Koc,2
Cemal Yilmaz,Kamer Kaya,3
Cemal Yilmaz,Gulsen Demiroz,4
Cemal Yilmaz,Adam Porter,4
Cemal Yilmaz,Emine Dumlu,2
Cemal Yilmaz,Myra B. Cohen,4
Hanefi Mercan,Giray Coskun,2
Hanefi Mercan,Kamer Kaya,3
Shaukat Ali,Tao Yue,2
Shaukat Ali,Xinyi Wang,2
Tao Yue,Xinyi Wang,2
Mihai Nica,Hermann Felbinger,3
Andrea Calvagna,Andrea Fornaia,3
Andrea Calvagna,Emiliano Tramontana,8
Andrea Calvagna,Paolo Vavassori,2
Hironori Washizaki,Hiroshi Ukai,2
Hironori Washizaki,Xiao Qu,2
Hironori Washizaki,Yoshiaki Fukazawa,4
Hiroshi Ukai,Xiao Qu,3
Hiroshi Ukai,Yoshiaki Fukazawa,2
Xiao Qu,Yoshiaki Fukazawa,2
Xiao Qu,Myra B. Cohen,5
Abdul Rahman A. Alsewari,Kamal Z. Zamli,2
Kamal Z. Zamli,Bestoun S. Ahmed,16
Kamal Z. Zamli,Wasif Afzal,3
Kamal Z. Zamli,Fadhl Hujainah,2
Kamal Z. Zamli,Miroslav Bures,3
Kamal Z. Zamli,AbdulRahman A. Alsewari,3
Kamal Z. Zamli,Fakhrud Din,4
Kamal Z. Zamli,A.A. Alsewari,4
Kamal Z. Zamli,Zainal Hisham Che Soh,2
Kamal Z. Zamli,Luca M. Gambardella,2
Kamal Z. Zamli,Graham Kendall,2
Kamal Z. Zamli,Rozmie R. Othman,5
Kamal Z. Zamli,Mohammad F.J. Klaib,3
Kamal Z. Zamli,Mohammed I. Younis,11
Kamal Z. Zamli,Nor Ashidi M. Isa,5
Kamal Z. Zamli,Rusli Abdullah,2
Takashi Kitamura,Eun-Hye Choi,9
Takashi Kitamura,Cyrille Artho,8
Takashi Kitamura,Tomoji Kishi,2
Takashi Kitamura,Akihisa Yamada,5
Takashi Kitamura,Osamu Mizuno,2
Takashi Kitamura,Armin Biere,2
Takashi Kitamura,Yutaka Oiwa,4
Takashi Kitamura,Goro Hatayama,2
Takashi Kitamura,Ngoc Thi Bich Do,2
Takashi Kitamura,Shinya Sakuragi,2
Chang Rao,Jin Guo,5
Chang Rao,Yadong Zhang,3
Chang Rao,Nan Li,4
Chang Rao,Yao Li,2
Jin Guo,Yadong Zhang,3
Jin Guo,Nan Li,4
Jin Guo,Yao Li,2
Yadong Zhang,Nan Li,2
Eduard Enoiu,Wasif Afzal,3
Wasif Afzal,Bestoun S. Ahmed,3
Nan Li,Yao Li,2
Rachel Tzoref-Brill,Dale Blue,3
Rachel Tzoref-Brill,Shahar Maoz,4
Rachel Tzoref-Brill,Paul Wojciak,3
Rachel Tzoref-Brill,Aviad Zlotnick,5
Rachel Tzoref-Brill,Itai Segall,9
Brenda Acevedo-Juárez,Himer Avila-George,2
Brenda Acevedo-Juárez,Jose Torres-Jimenez,2
Himer Avila-George,Jose Torres-Jimenez,17
Himer Avila-George,Idelfonso Izquierdo-Marquez,7
Himer Avila-George,Abel Carrión,2
Himer Avila-George,Nelson Rangel-Valdez,4
Himer Avila-George,Vicente Hernández,6
Himer Avila-George,Aldo Gonzalez-Gomez,2
Himer Avila-George,Loreto Gonzalez-Hernandez,2
Jose Torres-Jimenez,Idelfonso Izquierdo-Marquez,13
Jose Torres-Jimenez,Jose Carlos Perez-Torres,2
Jose Torres-Jimenez,Carlos Cobos,2
Jose Torres-Jimenez,Aldo Gonzalez-Gomez,2
Jose Torres-Jimenez,Josue Bracho-Rios,2
Jose Torres-Jimenez,Loreto Gonzalez-Hernandez,8
Jose Torres-Jimenez,Nelson Rangel-Valdez,11
Jose Torres-Jimenez,Vicente Hernández,6
Jose Torres-Jimenez,Eduardo Rodriguez-Tello,5
Linghuan Hu,W. Eric Wong,4
Linghuan Hu,Ruizhi Gao,2
W. Eric Wong,Dong Li,2
W. Eric Wong,Ruizhi Gao,3
Dave Towey,Rubing Huang,11
Dave Towey,Tsong Yueh Chen,7
Dave Towey,Yunan Zhou,6
Dave Towey,Quanjun Zhang,2
Dave Towey,Weifeng Sun,3
Dave Towey,Weiwen Zong,4
Dave Towey,Yansheng Lu,3
Rubing Huang,Tsong Yueh Chen,8
Rubing Huang,Yunan Zhou,6
Rubing Huang,Quanjun Zhang,2
Rubing Huang,Weifeng Sun,3
Rubing Huang,Weiwen Zong,4
